instance	campaign	src_bytes	min_bytes	turns	src_sha256
fluent__fluentd-3917	ML_typeid	8370700	55545	75	8490799427cc5d845d3f975272f0b532820c95d7108d34127fddc26b9f9929a8
fluent__fluentd-4030	ML_typeid	17816915	74727	98	376e01205bd8a5e1379f84d563e28f72fdabfde40d30677109b0452805a15945
fluent__fluentd-4311	ML_typeid	7381255	35730	80	4ebbcf4292c5e065db35c895d204942e73912f5ef787661bbd0531de36f78556
fluent__fluentd-4598	ML_typeid	1234838	25898	27	7e973d2c0221a2a38123686497762efdd265962cc6f801e93c2667aca774750c
fluent__fluentd-4655	ML_typeid	7909422	46221	60	d4c4ff2eea3c0c6ce3c53f9f2bf560d1c57f5df1292e2eac9ab62741e24b36a6
fmtlib__fmt-1683	ML_typeid	14097748	77942	98	97980b74d56a46b7d68f7a576332598fcb6baa296cbabd2f5bdf14e757507a40
fmtlib__fmt-2310	ML_typeid	15535882	81983	99	c63291938308cd4421319eedfd5b163994954be6a1d5a3e0d33275b65ce95c12
fmtlib__fmt-2317	ML_typeid	15892628	65134	100	2c9e934abca932e0ed4a059023907d44481f4b8ed780eb2753b88a9c80568626
fmtlib__fmt-2457	ML_typeid	98882378	239902	214	c9e65df4d9408688bc215659bbdab0d80e6685156a7192ca3fce054312a4bbd3
fmtlib__fmt-3158	ML_typeid	49259202	201523	162	929657c02668173de2179a3707cff4328adbcf4d341dc74ea573b4831abdc305
fmtlib__fmt-3272	ML_typeid	25034146	118897	113	59c12855dfa3a2f88f21f508d5ffc1808feed656a2c14cf4baf52d436200218e
fmtlib__fmt-3729	ML_typeid	46813640	212815	148	5354bf2cd58eb65b4de7e18cf94835fa01476126004376a6e8f4722c5c5b4da7
fmtlib__fmt-3750	ML_typeid	19068839	79989	109	77c90949e6d35d522fab258a04e28c3e2eeec30b551d498ddd9e6ef2b69fa9af
fmtlib__fmt-3863	ML_typeid	50815029	149359	156	37011d6fca1860ad7f55f5e0c23dabb8ac162fcff7b91afe6965fa29e8c4e5aa
fmtlib__fmt-3901	ML_typeid	2472047	29587	37	c3764701a21a15dae93c18f45a5b4a5ba9837bf0c603cf42621e9bf6926ed592
gin-gonic__gin-1805	ML_typeid	24670445	95185	96	692708237db51c6b2d2c2b9053dc9918e86ad60829603e059d778ead7e68b106
gin-gonic__gin-1957	ML_typeid	19601232	69621	107	8d15ca592bfe585c9885756988043d43f2cc10ae636c77914e53dd594446ff26
gin-gonic__gin-2121	ML_typeid	2391723	32686	39	00656b43410a4e4acb33a81723b0aa075a8964786929b78dc5885772c7714d53
gin-gonic__gin-2755	ML_typeid	31246613	85764	120	349c88ef03e72af0693e10a914b4dda0b20acb2f59ea2161f61a8c3a07237406
gin-gonic__gin-3227	ML_typeid	49849691	212288	132	7079997a8e408c3bbea7932d5a7122bd125afb7758db3942b7002853176d078a
gin-gonic__gin-3820	ML_typeid	15796965	70476	90	7618040f1f4cfe4aab801c18fec3efbd7d64c98d6650592299221721e693e8b2
gin-gonic__gin-4003	ML_typeid	3562927	31861	44	b821714d1f82d52ae0d926f20e7cecdbcee89d57f910a3f5701e4e089bb8802e
gohugoio__hugo-12171	ML_typeid	69421924	195928	169	12e156b8939f68fa9bfd3aa6c2a5e40d0637fae0ef19792a1c2f5c8dd23f3242
gohugoio__hugo-12204	ML_typeid	61952200	180927	212	131f6e702b0f79957ff52dd5f24122c21437aa0beed7721884e7bd9a589be133
gohugoio__hugo-12343	ML_typeid	30756626	90366	131	aa5f3910e13f1ee18c193fe602dedb4749104876c4a8fe2ffd4d4233abfd99d4
gohugoio__hugo-12448	ML_typeid	129988306	246898	286	e2996061dc2e013b329996980a870f32a9c9788657794a1b7873a3007393be72
gohugoio__hugo-12562	ML_typeid	21982823	69398	114	fa677875a2f8c5d905e8c7a2d42425aabf43387334d733a3fa7c002bcbaef738
gohugoio__hugo-12579	ML_typeid	8324159	48998	66	d1b998ce18ff131ad7fa50c73229f129dee120a537674b7da1ba2461a663a44e
gohugoio__hugo-12768	ML_typeid	3605227	28577	35	8359fb064eeb2d0e32030e0cb7ea9054dfdea5334231285e550a18874555326c
google__gson-1014	ML_typeid	8464909	53769	72	6cd86cb11c62fe2d4a37339e6af4587d2825fa6fd0d316727c0d030fde089998
google__gson-1093	ML_typeid	7483654	54132	59	a261da96b151e70f4fa35160e3fc8bf1e2a953a82b27cd1825d9042011cf93a6
google__gson-1100	ML_typeid	7005901	48921	64	db6c8ef3ed907f3b585bcec3f43a31bad499eea13b048b113893a7059eb16d27
google__gson-2024	ML_typeid	11048474	50463	85	67e05b60f6f2825b58cd486b31bb9e9c35a68d728c6c4e70398abe3f6b76ab7e
google__gson-2134	ML_typeid	4116636	41166	49	6fd3f756b8afe686b0a32198846ad6e7e7deb203ebcff17b27f22b713321b5ac
google__gson-2158	ML_typeid	44556650	141666	154	0ba63686f0463491a7cdd553929a14a25a5baad5151889c48f5c9347a88ac9f1
google__gson-2311	ML_typeid	15426210	80785	102	b149684292601ccea439ba03f6e354b973ef1fc67236f2ebe00b2bd09323308e
google__gson-2479	ML_typeid	33715379	116585	136	9549e26af7e4dae76f4ae741b7c7dd4175f2c5d5f51e4f33120268077596dc31
hashicorp__terraform-34580	ML_typeid	29155601	58765	119	6b623b7de6a3648477f2c61bc60ef71b1cb8f8f81d15459a50b5b4ce1afa7b0d
hashicorp__terraform-34814	ML_typeid	29346541	61289	105	651e20ccaca797b27e24631484023535d63d30ec209ef76dc2acb3f622c6fe25
hashicorp__terraform-34900	ML_typeid	67008339	89520	155	53a0ea21b3f4f9794c36722d37c78fcd703e6ea76601148634565a1350fa655e
hashicorp__terraform-35611	ML_typeid	111934960	168929	167	d96c06f6129aa958afb1bbe42958832ca6de8eba056a57a03a727f27a1bf3802
hashicorp__terraform-35543	ML_typeid	16614343	45637	107	2f926e137d3aa4fb588010a92e0cbb78048199bd791018e757c7c3e52a62c459
immutable-js__immutable-js-2005	ML_typeid	22468421	100670	103	9379ab1960bb0b10a91ce8a95aea7189dd0eb6c203fc9e8a4f8169b7bcf300f6
immutable-js__immutable-js-2006	ML_typeid	42605288	148552	139	595be51f670f45d3141ac119946caa3bb7a0013801f568bc448da0b874b507f8
javaparser__javaparser-4538	ML_typeid	6886194	55797	70	c30ef0d1f98797904f142b7d7f995626e572ff2a54591cfb8d5f1af474f5a06e
javaparser__javaparser-4561	ML_typeid	34686914	131584	146	f72a3785efde6ff23bdcadf5add88788fbf46fbbae675061326699ee5005f3d1
jekyll__jekyll-8047	ML_typeid	9465848	77374	76	7c74fca261627050015dd27ce4c12bf271fe761f18781374e2a122606ec48dab
jekyll__jekyll-8167	ML_typeid	7352972	47384	77	1324b8a14d2fa09f50b3a029192dd09f4b1d7d1b8a039ef7ebe509b42101e18e
jekyll__jekyll-8761	ML_typeid	92822840	249811	228	0ddc9d0272b74c7c20ccd88f50b7ef3b6f8e313e1be42e4ff8bc4e5d12b6746a
jekyll__jekyll-8771	ML_typeid	65064050	129776	179	5b2a9f6192a5cf146fd30fb45accebb9e226db97b5f93e0a7b75a35c61f2939c
jekyll__jekyll-9141	ML_typeid	73401553	301128	182	ef28c966d4947f6deac8d185e526f3174f5961424eebf85786f869d5c64267a6
jordansissel__fpm-1829	ML_typeid	10608523	44947	68	0725dddbe6bddb55a66e9a3117b161755904200db8d5ea8a2e3263e623a3b180
jordansissel__fpm-1850	ML_typeid	4400225	33062	51	bbff04ee434413bf4989c648029dd3be3a1221525206a490b4f2f22d4b46b526
jqlang__jq-2235	ML_typeid	24717180	87856	131	8ae19f60c817fc99f6a42321078e5fd1d446164b6afd2475eaa8477bd7ea140d
