task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
sympy,run_3,190.187861343,harness,40.11,6.14,14.86,40.37,4.48,10.37,32.37,8.0,0.82,5.27
sympy,run_3,190.187861343,tool,26.63,17.55,32.99,22.94,17.69,15.31,13.75,9.19,2.88,16.75
sympy,run_3,200.198170539,harness,38.54,6.74,14.87,41.07,3.24,11.62,33.85,7.22,1.18,4.44
sympy,run_3,200.198170539,tool,27.09,17.48,32.84,23.08,17.75,15.09,13.62,9.46,2.9,16.64
sympy,run_3,210.207864647,harness,34.89,6.73,14.58,43.49,3.21,11.36,36.25,7.23,1.18,4.38
sympy,run_3,210.207864647,tool,26.08,17.34,33.86,23.28,18.45,15.4,13.61,9.67,2.93,16.59
sympy,run_3,220.21786794,harness,38.73,6.45,15.0,40.93,4.05,10.94,31.89,9.05,1.58,4.85
sympy,run_3,220.21786794,tool,26.88,17.69,33.31,22.75,17.98,15.33,13.25,9.49,2.88,16.87
sympy,run_3,230.229861405,harness,40.71,6.79,14.78,39.46,4.04,10.74,31.06,8.4,1.21,5.61
sympy,run_3,230.229861405,tool,26.77,17.56,32.99,23.14,17.74,15.25,13.61,9.53,2.88,16.77
sympy,run_3,240.239863433,harness,33.69,6.72,14.56,43.95,3.98,10.59,38.41,5.54,1.18,5.54
sympy,run_3,240.239863433,tool,27.22,17.3,32.79,23.03,17.53,15.26,13.59,9.44,2.9,16.49
sympy,run_3,250.249869243,harness,38.3,6.39,14.88,39.61,4.06,10.82,31.78,7.83,1.96,4.43
sympy,run_3,250.249869243,tool,26.68,17.55,33.33,22.9,17.96,15.37,13.4,9.51,2.9,16.74
sympy,run_3,260.259867314,harness,41.77,6.78,15.91,38.79,4.01,11.89,30.31,8.49,1.58,5.58
sympy,run_3,260.259867314,tool,26.82,17.37,32.7,23.37,17.44,15.26,13.88,9.49,2.88,16.62
sympy,run_3,267.556279497,harness,35.91,6.34,13.84,44.25,4.04,9.8,36.03,8.21,1.19,4.42
sympy,run_3,267.556279497,tool,26.75,16.83,33.14,23.79,17.91,15.23,14.0,9.79,2.96,16.2
sympy,run_4,10.0099727,harness,25.2,18.81,39.49,17.29,27.01,12.48,11.54,5.74,1.56,17.65
sympy,run_4,10.0099727,tool,29.49,17.88,32.44,19.91,17.11,15.32,11.69,8.21,2.47,16.92
sympy,run_4,20.01997079,harness,38.0,12.07,20.12,30.63,10.47,9.65,24.93,5.7,1.1,10.46
sympy,run_4,20.01997079,tool,27.24,19.08,34.54,17.76,18.42,16.11,10.02,7.74,2.68,18.22
sympy,run_4,30.029969892,harness,42.07,10.75,16.99,31.97,8.49,8.5,25.59,6.39,1.04,9.72
sympy,run_4,30.029969892,tool,26.62,18.26,33.02,22.45,17.33,15.69,14.13,8.32,2.62,17.56
