instance	language	mech	short	fence	live_ratio	boot_s	coverage	classified_pct	own_B	own_T	own_S	own_label	proc_B	proc_T	proc_S	proc_label	n_leaf	leaf_B	leaf_T	leaf_S	leaf_label	flags	n_receipts	top_procs
caddyserver__caddy-4943	Go	A	caddyserver-t4943	177.6	0.99	74.5	99.1	97.9	61	39	0	B	87	13	1	B	23314	50	43	6	M	call-step-mismatch(153v145)	42647	compile=85.1  build-drv=35.4  pkg=28.2  lint=20.8  search=1.5
caddyserver__caddy-5404	Go	A	caddyserver-t5404	74.2	0.69	0.0	97.4	95.4	28	71	0	T	78	22	0	B	15611	57	42	1	B	call-step-mismatch(96v91)	22361	compile=42.5  lint=15.0  build-drv=12.7  search=0.2  test-run=0.2
caddyserver__caddy-5626	Go	A	caddyserver-t5626	153.7	0.97	0.0	98.2	91.2	53	46	0	M	85	15	0	B	22489	54	45	1	M	E7-consecutive-loop,call-step-mismatch(180v170)	331336	compile=91.0  build-drv=27.5  lint=19.9  test-run=1.5  search=0.2
caddyserver__caddy-5761	Go	A	caddyserver-t5761	120.1	1.07	0.0	97.8	88.8	36	64	0	T	83	17	0	B	20929	57	42	1	B	E7-consecutive-loop,call-step-mismatch(167v155)	329667	compile=70.4  build-drv=18.1  lint=17.8  vcs=0.2  test-run=0.1
caddyserver__caddy-5870	Go	A	caddyserver-t5870	210.4	1.08	121.8	97.9	96.7	65	35	0	B	75	25	0	B	34270	49	50	1	M	call-step-mismatch(201v191)	54038	compile=122.7  lint=49.3  build-drv=26.4  pkg=1.8  test-run=0.6
caddyserver__caddy-5995	Go	A	caddyserver-t5995	50.9	0.32	59.6	98.4	94.5	39	61	0	?	89	11	0	?	8248	67	30	2	?	call-step-mismatch(141v138),replay-invalid(ratio=0.32)	18715	compile=29.4  build-drv=9.9  lint=4.5  pkg=1.8  test-run=0.2
caddyserver__caddy-6051	Go	A	caddyserver-t6051	165.0	0.86	0.0	68.6	64.8	25	75	0	T	83	17	0	B	11352	60	39	1	B	call-step-mismatch(123v116)	16699	compile=79.7  lint=11.7  build-drv=9.1  test-run=6.3  search=0.1
caddyserver__caddy-6115	Go	A	caddyserver-t6115	64.8	0.43	47.1	98.4	96.0	74	26	0	?	72	28	0	?	13580	44	55	1	?	call-step-mismatch(107v101),replay-invalid(ratio=0.43)	21993	compile=28.7  lint=16.5  build-drv=13.0  pkg=1.8  other=0.2
caddyserver__caddy-6288	Go	A	caddyserver-t6288	59.1	0.44	0.0	97.8	93.6	59	40	1	?	65	34	1	?	12254	32	64	4	?	call-step-mismatch(185v176),replay-invalid(ratio=0.44)	25809	compile=25.3  lint=17.0  build-drv=10.3  test-run=1.4  search=0.7
caddyserver__caddy-6345	Go	A	caddyserver-t6345	54.7	0.32	56.2	98.0	94.8	85	14	0	?	67	32	0	?	13103	43	56	1	?	replay-invalid(ratio=0.32)	23486	build-drv=19.2  lint=15.5  compile=12.7  pkg=1.8  test-run=0.4
caddyserver__caddy-6350	Go	A	caddyserver-t6350	83.4	0.44	0.0	98.0	95.6	52	48	0	?	73	27	1	?	17194	44	54	2	?	call-step-mismatch(137v133),replay-invalid(ratio=0.44)	31642	compile=38.3  lint=19.8  build-drv=19.3  test-run=1.4  search=0.5
caddyserver__caddy-6370	Go	A	caddyserver-t6370	75.7	0.62	0.0	98.1	96.5	95	5	1	B	89	10	1	B	9963	59	40	1	B		15261	compile=58.0  build-drv=7.3  lint=7.1  search=0.4  runtime=0.1
caddyserver__caddy-6411	Go	A	caddyserver-t6411	266.7	1.29	0.0	81.7	78.7	18	82	0	T	85	15	0	B	15729	58	41	0	B	E7-consecutive-loop,call-step-mismatch(98v86)	20252	compile=170.4  lint=27.4  build-drv=7.1  test-run=5.0  vcs=0.1
facebook__docusaurus-10130	TypeScript	N	facebook-t10130	22.6	1.02	0.0	100.2	92.7	0	100	0	T	0	100	0	T	2156	0	97	3	T		7486	runtime=20.5  vcs=0.5  test-run=0.3  search=0.1
facebook__docusaurus-10309	TypeScript	N	facebook-t10309	13.1	0.89	0.0	99.2	63.0	0	91	9	?	0	91	9	?	1253	0	59	41	T		40509	runtime=7.5  vcs=0.8  search=0.7
facebook__docusaurus-8927	TypeScript	N	facebook-t8927	28.5	0.96	0.0	76.0	70.6	0	99	1	T	0	99	1	T	205	0	69	31	T		2772	test-run=15.1  runtime=5.0  vcs=0.5  search=0.1  other=0.0
facebook__docusaurus-9183	TypeScript	N	facebook-t9183	34.0	1.04	0.0	70.1	62.7	0	96	4	T	0	96	4	T	263	0	65	35	T		4055	runtime=11.4  test-run=9.0  search=0.9  vcs=0.3
facebook__docusaurus-9897	TypeScript	N	facebook-t9897	33.1	1.04	0.0	84.0	79.0	0	99	1	T	0	99	1	T	1055	0	90	10	T		5595	test-run=14.0  runtime=11.8  vcs=0.4  search=0.3  other=0.0
faker-ruby__faker-2705	Ruby	I	faker-ruby-t2705	29.7	1.04	0.0	100.7	96.6	0	100	0	T	0	100	0	T	179	0	69	31	T		7655	runtime=27.0  test-run=1.6  vcs=0.1  search=0.1  other=0.0
faker-ruby__faker-2970	Ruby	I	faker-ruby-t2970	121.2	0.98	0.0	99.9	98.3	0	100	0	T	0	100	0	T	719	0	60	40	T		25511	runtime=112.6  test-run=6.3  search=0.3  vcs=0.1  other=0.1
fastlane__fastlane-19207	Ruby	I	fastlane-t19207	21.0	0.96	61.6	100.2	84.3	8	89	2	T	5	93	3	T	460	8	56	36	T	E7-consecutive-loop	15267	runtime=15.8  vcs=0.9  pkg=0.8  search=0.4  other=0.1
fastlane__fastlane-19304	Ruby	I	fastlane-t19304	12.6	1.09	0.0	101.7	93.5	0	100	0	T	0	100	0	T	85	0	79	21	T		3723	runtime=11.7  vcs=0.3  search=0.0  other=0.0
fastlane__fastlane-19765	Ruby	I	fastlane-t19765	8.6	0.76	0.0	102.6	83.0	0	97	3	?	0	97	3	?	139	0	65	35	T		4616	runtime=6.9  vcs=0.6  search=0.2  other=0.0
fastlane__fastlane-20642	Ruby	I	fastlane-t20642	28.1	1.02	0.0	100.5	94.3	0	100	0	T	0	99	1	T	215	0	64	36	T		7644	runtime=26.2  vcs=0.6  search=0.2  other=0.0
fastlane__fastlane-20958	Ruby	I	fastlane-t20958	22.3	0.84	0.0	100.3	92.1	0	100	0	T	0	100	0	T	441	0	92	8	T		8565	runtime=18.4  vcs=2.0  search=0.1  other=0.0
fastlane__fastlane-20975	Ruby	I	fastlane-t20975	21.2	0.95	0.0	99.2	78.5	0	98	2	T	0	98	2	T	449	0	55	45	T		17700	runtime=16.0  vcs=1.8  search=0.3  other=0.2
fastlane__fastlane-21857	Ruby	I	fastlane-t21857	18.0	1.02	0.0	100.4	90.2	0	98	2	T	0	98	2	T	260	0	67	33	T		7668	runtime=15.7  vcs=0.6  search=0.4  other=0.0
fluent__fluentd-3328	Ruby	I	fluent-t3328	20.5	0.94	0.0	99.8	88.6	0	97	3	T	0	97	3	T	431	0	66	33	T		61231	runtime=17.3  search=0.6  vcs=0.3  test-run=0.2  pkg=0.0
fluent__fluentd-3466	Ruby	I	fluent-t3466	25.6	0.93	0.0	100.2	87.9	0	99	1	T	0	99	1	T	383	0	68	32	T		34858	runtime=21.2  vcs=1.2  test-run=1.1  search=0.1  other=0.0
fluent__fluentd-3608	Ruby	I	fluent-t3608	302.5	1.0	0.0	100.0	99.5	0	100	0	T	0	100	0	T	336	0	80	20	T		56846	runtime=300.6  vcs=0.1  test-run=0.1  search=0.1  other=0.0
fluent__fluentd-3616	Ruby	I	fluent-t3616	8.1	0.91	0.0	101.8	87.7	0	99	1	?	0	99	1	?	1122	0	96	4	T		20812	runtime=6.8  test-run=0.3  vcs=0.1  search=0.0  other=0.0
fluent__fluentd-3631	Ruby	I	fluent-t3631	13.4	0.95	0.0	100.8	90.4	0	99	1	T	0	99	1	T	268	0	81	19	T		14390	runtime=11.9  vcs=0.2  search=0.1  test-run=0.0  other=0.0
fluent__fluentd-3640	Ruby	I	fluent-t3640	64.6	0.68	0.0	100.3	98.2	0	100	0	T	0	100	0	T	194	0	63	37	T		26338	runtime=63.3  vcs=0.2  search=0.1  test-run=0.0  other=0.0
fluent__fluentd-3641	Ruby	I	fluent-t3641	7.1	0.88	0.0	102.7	84.3	0	99	1	?	0	99	1	?	253	0	82	18	T		6063	runtime=5.9  vcs=0.1  search=0.1  other=0.0  test-run=0.0
fluent__fluentd-3917	Ruby	I	fluent-t3917	9.7	0.9	0.0	101.8	87.9	0	99	1	?	0	99	1	?	254	0	68	32	T		8665	runtime=8.4  vcs=0.1  search=0.1  test-run=0.1  other=0.0
fluent__fluentd-4030	Ruby	I	fluent-t4030	5.3	0.73	0.0	101.8	39.2	0	73	27	?	0	73	27	?	237	0	45	55	S	E7-consecutive-loop,call-step-mismatch(102v98),mechanism-not-witnessed	5365	vcs=2.0  runtime=1.5  search=0.6
fluent__fluentd-4311	Ruby	I	fluent-t4311	4.9	0.96	0.0	104.1	80.3	0	92	8	?	0	92	8	?	203	0	52	48	M	E7-consecutive-loop,call-step-mismatch(83v80)	4569	runtime=3.6  search=0.3  vcs=0.0  test-run=0.0
fluent__fluentd-4598	Ruby	I	fluent-t4598	4.3	1.03	0.0	105.2	89.0	0	100	0	?	0	100	0	?	166	0	93	7	T		5122	runtime=3.8  vcs=0.0  other=0.0  search=0.0  test-run=0.0
fluent__fluentd-4655	Ruby	I	fluent-t4655	7.5	0.96	0.0	102.1	87.1	0	99	1	?	0	99	1	?	1747	0	98	2	T		24153	runtime=6.1  test-run=0.4  vcs=0.2  search=0.0  other=0.0
fmtlib__fmt-3248	C++	B	fmtlib-X3248	201.1		2.0	99.8	99.0	98	1	0	B	98	1	0	B	639	51	29	20	B		16097	compile=193.8  runtime=2.6  build-drv=1.2  pkg=1.1  search=0.3
fmtlib__fmt-1683	C++	B	fmtlib-t1683	103.1	0.94	2.5	99.8	98.4	98	2	0	B	98	2	0	B	528	61	26	13	B		13794	compile=97.4  runtime=2.0  build-drv=1.1  pkg=0.7  vcs=0.1
fmtlib__fmt-2310	C++	B	fmtlib-t2310	83.7	0.86	2.0	99.7	98.0	97	3	0	B	97	3	0	B	644	60	27	14	B		18560	compile=77.5  runtime=2.2  build-drv=1.3  pkg=0.7  test-run=0.1
fmtlib__fmt-2317	C++	B	fmtlib-t2317	291.2	1.08	2.0	99.7	99.2	99	1	0	B	99	1	0	B	946	70	21	9	B		23368	compile=282.9  build-drv=2.5  runtime=2.3  pkg=0.7  test-run=0.2
fmtlib__fmt-2457	C++	B	fmtlib-t2457	112.0	0.93	2.5	99.4	96.8	95	4	0	B	95	4	0	B	1284	58	25	17	B		33870	compile=100.3  runtime=4.6  build-drv=2.3  pkg=0.7  vcs=0.2
fmtlib__fmt-3158	C++	B	fmtlib-t3158	224.3	0.96	2.5	99.5	98.5	98	2	0	B	98	2	0	B	1365	65	24	11	B		22555	compile=213.1  build-drv=3.2  runtime=2.9  pkg=0.7  test-run=0.5
fmtlib__fmt-3272	C++	B	fmtlib-t3272	60.0	0.83	2.5	99.7	96.6	96	4	0	B	96	4	0	B	531	51	28	21	B		15312	compile=53.9  runtime=2.3  build-drv=0.8  pkg=0.7  vcs=0.3
fmtlib__fmt-3729	C++	B	fmtlib-t3729	219.6	0.96	2.5	99.6	98.7	98	2	0	B	98	2	0	B	1112	61	23	16	B		23244	compile=209.0  runtime=3.3  build-drv=2.4  pkg=1.2  search=0.5
fmtlib__fmt-3750	C++	B	fmtlib-t3750	173.7	0.95	2.5	99.5	98.6	98	2	0	B	98	2	0	B	585	57	29	14	B		17445	compile=166.7  runtime=2.5  build-drv=1.1  pkg=0.7  vcs=0.1
fmtlib__fmt-3863	C++	B	fmtlib-t3863	193.2	0.95	2.5	99.5	97.9	98	2	0	B	98	2	0	B	1071	56	28	16	B		26545	compile=181.8  runtime=3.3  build-drv=2.2  pkg=1.0  vcs=1.0
fmtlib__fmt-3901	C++	B	fmtlib-t3901	187.5	0.97	2.0	99.9	99.5	99	1	0	B	99	1	0	B	383	72	21	7	B		9799	compile=183.8  build-drv=1.0  runtime=0.9  pkg=0.7  test-run=0.1
gin-gonic__gin-3741	Go	A	gin-gonic-X3741	19.3		22.8	98.9	94.0	47	52	0	M	86	13	0	B	4236	75	23	2	B		8980	compile=8.3  build-drv=3.7  pkg=1.9  lint=1.8  test-run=0.2
gin-gonic__gin-1805	Go	A	gin-gonic-t1805	74.5	0.98	0.0	97.3	95.2	20	80	0	T	75	25	0	B	17557	54	46	1	M	call-step-mismatch(99v96)	25630	compile=44.9  lint=14.7  build-drv=8.5  test-run=2.6  search=0.2
gin-gonic__gin-1957	Go	A	gin-gonic-t1957	25.3	0.89	0.0	98.1	92.3	48	51	1	M	61	38	1	B	9269	47	51	1	M	call-step-mismatch(113v107)	15836	compile=8.9  lint=8.4  build-drv=5.3  test-run=0.5  search=0.2
