"fence","metric","grp","col","n","median","mean","p5","p95","max"
"harness","Branch-direction MPKI","JavaScript","babel-15649",147,6.4183,7.10817482993197,0.87625,12.85749,13.9223
"harness","Branch-direction MPKI","JavaScript","preact-3763",109,6.4109,7.04159266055046,1.01696,12.81424,13.4371
"harness","Branch-direction MPKI","JavaScript","three.js-26589",351,1.3742,5.20367037037037,0.6054,12.82105,13.5025
"harness","Branch-direction MPKI","PHP","carbon-2752",223,3.2435,5.88575874439462,0.72154,12.59166,12.87
"harness","Branch-direction MPKI","PHP","framework-52684",135,5.974,6.9444837037037,1.03673,12.75056,12.9192
"harness","Branch-direction MPKI","PHP","php-cs-fixer-8064",378,1.73505,5.10311587301587,0.544295,12.622245,13.4634
"harness","Branch-direction MPKI","PHP","phpspreadsheet-3463",187,4.1608,6.55993689839572,0.76353,12.79373,13.5383
"harness","Branch-direction MPKI","Ruby","fastlane-20958",143,4.1988,6.58256363636364,0.96226,12.85564,13.5323
"harness","Branch-direction MPKI","Ruby","fpm-1829",146,4.0918,6.6357404109589,1.098825,12.89365,13.8542
"harness","Branch-direction MPKI","Ruby","rubocop-13560",573,1.0379,4.43556666666667,0.38,12.78794,13.6763
"harness","Branch-direction MPKI","Rust","axum-1730",214,2.7797,6.20923738317757,0.78164,12.95737,13.5994
"harness","Branch-direction MPKI","Rust","bat-2835",651,1.2484,4.25976251920123,0.40855,12.84965,13.5938
"harness","Branch-direction MPKI","Rust","nushell-13831",156,5.979,6.70961730769231,0.8308,12.800025,13.7508
"harness","Branch-direction MPKI","Rust","ripgrep-2209",335,1.5434,5.33669671641791,0.61334,12.83108,13.325
"harness","Branch-direction MPKI","SPEC-fp","SPEC-fp",12,0.05754,0.642389166666667,0.012572,2.9242885,4.46436
"harness","Branch-direction MPKI","SPEC-int","SPEC-int",14,2.95975,3.252175,0.1004915,7.9518575,11.84357
"harness","Branch-direction MPKI","TypeScript","docusaurus-10130",158,3.5077,6.51039810126582,0.87062,12.77423,13.283
